UserID,Date,Category,Description,Amount
3,2025-06-20,Clothing,Enough recently wish project miss speak.,433.2
3,2024-12-24,Clothing,Service father born respond with center case.,108.79
3,2025-01-01,Miscellaneous,Task commercial nice marriage large million.,321.74
3,2025-03-28,Entertainment,Authority ready ball throughout method rest.,292.15
4,2025-06-03,Groceries,Set able nothing.,150.36
4,2025-01-13,Groceries,Bed half wall nor feel company.,409.7
4,2024-10-05,Clothing,Threat see glass really there.,233.56
4,2024-11-07,Miscellaneous,Few leader side understand.,469.92
4,2024-09-13,Miscellaneous,Mr fish relate that movie.,466.14
4,2025-02-19,Miscellaneous,Happy blood whose.,498.55
4,2024-12-02,Groceries,Staff peace author security.,267.12
4,2025-02-22,Transport,Firm hundred nothing report any hot.,37.2
4,2025-01-23,Entertainment,Important spend modern.,170.34
4,2024-09-13,Groceries,Image another painting listen TV who.,185.7
4,2025-09-10,Utilities,Hair my police himself party outside.,246.66
4,2024-11-06,Transport,Politics whose hard truth.,42.37
4,2025-06-04,Dining,Your why way human family various.,125.99
4,2025-01-18,Utilities,Citizen note stay reality point.,360.66
4,2025-01-14,Transport,Quite big everybody skill significant.,47.36
5,2024-09-14,Dining,Share mother clear.,62.37
5,2025-05-04,Utilities,Increase camera claim world significant Mr bad.,79.21
5,2025-03-08,Entertainment,After single every manager scientist reason change.,461.16
5,2024-12-03,Miscellaneous,Crime those could since.,416.88
5,2025-09-01,Dining,Stage city every leg which public.,176.48
5,2024-09-28,Clothing,Common design hold president recent cause.,251.63
5,2025-03-27,Dining,Should action person hotel common daughter experience.,99.04
5,2025-08-31,Utilities,Evidence camera finally show kitchen thousand.,67.91
5,2024-10-29,Entertainment,Of throw return perform party local fund reason.,29.94
5,2024-10-22,Clothing,Popular step both contain military although country.,343.05
5,2025-06-02,Education,There film door where try foreign.,146.11
5,2024-12-10,Transport,Congress Mr cold again.,63.23
6,2025-09-07,Entertainment,Draw high father ok.,8.96
6,2025-02-10,Clothing,Clearly city civil herself center across fight.,306.77
6,2025-09-09,Education,Simply truth region enter affect.,237.03
6,2025-05-07,Rent,Talk society mother tough girl small film.,374.35
6,2025-02-09,Groceries,Cell design lose difference city piece I coach.,185.38
6,2025-05-11,Utilities,Use responsibility understand attention issue.,473.68
6,2024-11-02,Rent,Look forward magazine cold this.,259.28
6,2025-06-25,Entertainment,Woman use part our particular significant shake miss.,259.78
6,2025-07-17,Rent,Others represent must too.,68.35
6,2025-09-03,Education,Difficult total professor charge share.,374.72
6,2025-08-10,Utilities,Air hit institution then.,368.46
6,2024-12-23,Utilities,Special job a democratic popular expect.,203.56
6,2024-11-01,Clothing,Strong Mrs mouth where above including.,470.57
6,2025-08-28,Education,Center identify maintain religious.,129.9
6,2025-06-16,Transport,Yes scientist leader author.,461.39
6,2025-06-12,Entertainment,Specific prevent foreign color.,253.98
6,2025-01-28,Utilities,Fast industry similar lead bad condition each.,280.65
7,2024-11-09,Entertainment,Yourself memory health pay soon street customer nice.,130.91
7,2025-08-30,Groceries,Level subject maintain cut young reach.,456.55
7,2025-08-05,Dining,School finally official bank.,81.79
7,2025-06-21,Dining,Toward reduce share speech central material painting.,27.83
7,2024-09-22,Miscellaneous,Hope if because must focus miss rise.,57.58
7,2024-11-26,Education,Turn same official pass north something usually.,62.53
7,2025-07-09,Groceries,Fine war get.,411.1
7,2025-07-14,Dining,Than reach thought.,9.05
7,2025-04-18,Transport,Attack according vote pattern floor.,384.59
7,2025-06-01,Utilities,News human school away place the local.,168.63
7,2025-09-05,Dining,Tv green never management with success.,192.43
7,2025-05-17,Dining,Physical simply guy throughout.,347.23
7,2025-04-07,Utilities,Subject vote analysis discuss attorney wrong long.,282.91
7,2025-01-08,Entertainment,Hit whose protect majority almost.,473.63
7,2024-09-11,Dining,Mention laugh allow challenge.,159.39
8,2024-09-22,Groceries,Defense life close well cup.,456.61
8,2025-07-22,Rent,Daughter space standard beautiful campaign gun.,113.85
8,2024-11-18,Utilities,Control pick culture finally.,204.46
8,2024-11-25,Healthcare,Score police public citizen.,404.65
8,2024-09-17,Miscellaneous,Economy operation traditional.,431.48
8,2025-01-04,Clothing,These huge let cover heart much.,439.71
8,2024-10-29,Rent,Hundred score check per herself field.,163.31
8,2025-05-09,Utilities,Program court total institution sense sing third.,274.85
8,2025-08-30,Utilities,Increase think somebody peace another.,180.32
8,2025-07-15,Clothing,Attorney happy word sea rest.,432.85
8,2024-12-02,Education,Decide others least eat major.,271.88
8,2025-01-26,Utilities,Plan various man skill region source opportunity.,129.32
8,2025-08-27,Transport,Tough wrong degree maybe.,61.75
9,2024-09-20,Groceries,Two choose top my.,94.57
9,2025-01-14,Miscellaneous,Reason would development herself bag.,34.9
9,2025-02-27,Clothing,Glass big quickly strong safe.,226.11
9,2025-07-16,Miscellaneous,Dinner sell society some technology according become agree.,233.05
9,2025-07-15,Education,Until box million employee.,131.48
9,2025-02-07,Groceries,Action subject American organization PM public.,185.67
9,2025-02-12,Groceries,Show share operation add daughter option occur.,243.69
9,2025-02-26,Transport,Hair television gas he.,181.18
9,2024-09-30,Miscellaneous,List even coach especially interest cold.,261.34
9,2024-11-27,Entertainment,Single design hot yet parent care.,393.77
9,2025-01-13,Healthcare,See store population indicate story modern.,74.82
9,2025-03-11,Education,Talk wish wait condition collection society commercial.,87.08
9,2024-12-10,Utilities,Friend religious open cell summer relate system.,66.03
9,2025-02-02,Clothing,Tree time professor second thing life.,490.67
9,2025-01-19,Transport,Recognize smile much street.,122.67
9,2025-02-12,Entertainment,All push who firm option past alone.,32.26
9,2025-08-08,Groceries,Food speech huge culture top.,482.95
9,2025-05-24,Clothing,Friend hope impact off from.,58.54
9,2024-12-18,Rent,Finally tough mention until affect box their establish.,202.96
9,2024-09-21,Miscellaneous,Attention concern civil eight available.,414.75
9,2025-03-25,Miscellaneous,Special sport popular rise.,84.45
9,2024-10-08,Clothing,Most lawyer response lose.,265.09
9,2025-06-16,Entertainment,West natural point wall first happen few.,349.85
9,2025-05-24,Groceries,Start south coach five key environmental positive.,323.63
9,2025-04-08,Miscellaneous,Fast specific site science work form medical.,306.37
9,2025-07-28,Clothing,Run either garden.,293.26
9,2025-04-19,Education,Rather suddenly just attention election current.,216.57
9,2025-07-26,Education,Up the avoid political.,300.73
9,2025-05-25,Entertainment,Such general business kid material.,148.94
10,2025-05-09,Clothing,End machine international she.,476.48
10,2024-10-06,Utilities,Listen article indicate camera within significant analysis range.,101.86
10,2024-11-19,Entertainment,Surface six especially.,194.69
10,2025-08-10,Rent,Summer research against ask describe.,81.78
10,2025-01-29,Rent,Must statement reveal yard.,142.34
10,2024-09-19,Transport,Contain line cause.,237.53
10,2025-07-23,Clothing,Wrong you agree.,416.65
10,2025-03-03,Miscellaneous,Relate exist industry spring hand represent media.,302.1
10,2025-07-10,Transport,Really would break old travel big.,468.68
10,2025-08-27,Entertainment,View check travel any project program.,114.07
10,2025-07-10,Utilities,Shake close my subject.,395.75
10,2024-12-12,Dining,Free away data fish democratic marriage.,337.5
10,2025-02-27,Entertainment,Finally chair available bed edge water project.,320.8
10,2025-07-09,Dining,Book consumer today economic never.,192.78
10,2025-01-03,Utilities,Speech color store career argue whom.,276.78
10,2025-04-09,Education,Western develop speak summer still me world affect.,384.88
10,2025-04-30,Education,Determine any system four protect bad science.,495.79
10,2024-11-17,Miscellaneous,Avoid food far become week degree south hospital.,249.31
10,2024-12-02,Entertainment,Responsibility before late sing thing very.,329.35
10,2024-10-06,Rent,For industry only professional those.,29.9
10,2024-12-01,Utilities,Book edge among coach.,431.92
10,2025-08-23,Transport,Capital produce support.,434.4
10,2024-11-24,Rent,Program gun across alone face day.,286.5
11,2025-06-21,Miscellaneous,Know really quickly.,333.27
11,2025-04-19,Groceries,Strategy community produce.,339.81
11,2025-02-14,Healthcare,Itself her then than.,240.0
11,2025-08-03,Clothing,Try evidence boy hotel.,330.0
11,2025-01-15,Utilities,Challenge bit training administration check street follow.,431.83
11,2025-02-24,Utilities,Together mouth rather major.,81.15
11,2024-11-27,Miscellaneous,Several language couple road.,151.99
11,2025-07-26,Dining,Concern lay possible father community money.,367.98
11,2025-04-07,Education,Son capital rock mention community.,482.3
11,2024-11-11,Utilities,Cold teach like film.,97.95
11,2025-08-30,Healthcare,Meeting social blood player own girl.,44.24
11,2025-06-20,Education,Way military another system phone do.,427.04
11,2025-01-09,Transport,Vote front between travel once.,172.85
11,2024-12-28,Entertainment,End inside avoid bill.,143.0
11,2025-09-04,Dining,Across best election treat deal.,440.93
11,2025-02-17,Education,Popular south fear American end contain woman across.,252.25
11,2025-08-21,Dining,Discuss best manage always crime listen.,415.57
12,2024-10-21,Clothing,Evidence theory look professional.,380.2
12,2025-07-22,Utilities,Father affect dog behind series own generation.,472.51
12,2025-05-31,Miscellaneous,Will authority evidence mouth.,210.73
12,2024-10-13,Groceries,Recognize boy work save wear coach.,275.86
12,2024-11-28,Dining,Your adult new four take model.,400.99
12,2025-05-15,Clothing,Here attorney me father stop fire democratic.,144.54
12,2025-01-20,Entertainment,Push arrive money sort try network employee memory.,77.26
12,2024-09-23,Healthcare,Hot opportunity sense deal.,113.18
12,2024-10-21,Healthcare,Once easy politics father nature laugh wonder.,208.43
12,2024-10-08,Education,A among call interview dinner strategy.,151.7
12,2024-09-21,Entertainment,Case away or say traditional century.,456.95
12,2025-05-02,Groceries,Enter friend share.,312.69
13,2025-05-29,Entertainment,Happy behavior particularly she.,406.59
13,2024-10-01,Dining,Save admit religious pattern boy.,466.67
13,2024-12-11,Groceries,Plant we result seven last try author.,380.68
13,2024-09-30,Clothing,Safe far degree car.,403.1
13,2024-10-08,Rent,Another image push three democratic speak.,450.9
13,2025-04-06,Dining,Bag rather have four generation process.,21.93
13,2025-04-25,Healthcare,Third have politics save success health.,364.55
13,2025-09-05,Transport,Leave draw above well might book away.,405.32
13,2025-09-02,Dining,Side hundred born culture cup would.,458.45
13,2024-12-18,Clothing,Base maybe factor song forward.,28.55
13,2025-02-11,Miscellaneous,Ahead marriage before.,240.0
13,2025-09-03,Entertainment,Bit my become after send by.,437.13
13,2025-03-21,Dining,Since line off here office buy example first.,122.81
13,2024-12-25,Rent,Stand hit affect assume type.,151.64
13,2025-09-09,Groceries,Challenge ball baby position social structure.,372.02
13,2025-01-19,Utilities,Story control action method.,39.25
13,2025-07-12,Clothing,End edge lay.,379.71
13,2024-10-15,Healthcare,He though itself kind.,170.05
13,2024-10-02,Healthcare,Near walk too lot he.,97.48
13,2024-11-13,Dining,Thought late interesting sport generation various.,183.25
13,2024-10-27,Dining,Director center avoid director population down.,442.82
13,2024-12-08,Groceries,Include trip way cause.,343.63
13,2025-03-29,Miscellaneous,Community eight really decade rule natural throw war.,45.75
13,2025-02-20,Entertainment,Upon bit try available simple.,106.07
13,2025-06-28,Rent,Design thought fine structure them far unit.,83.0
13,2025-04-17,Entertainment,Do carry specific group door sell executive.,387.97
13,2025-06-29,Miscellaneous,He surface early.,113.54
13,2025-05-04,Dining,Impact its report two agent.,19.53
14,2025-07-29,Education,Young just quite address each whom.,470.56
14,2024-12-23,Education,Exist mission poor practice real baby.,170.89
14,2024-09-13,Rent,Expert center pay determine leave town rest.,279.01
14,2025-02-04,Rent,Month dinner federal.,18.79
14,2025-08-04,Dining,Modern project their nothing shoulder consider.,47.09
14,2025-09-03,Utilities,Finally discuss key resource husband article around.,190.42
14,2024-12-26,Utilities,Boy beyond account song begin.,356.32
14,2025-01-04,Clothing,Protect truth child between.,418.38
14,2025-09-08,Entertainment,Relate member score serious close.,395.89
14,2025-03-28,Dining,Hot language everyone sort image enjoy help.,291.09
14,2025-09-10,Entertainment,Decade subject as room as of family.,279.31
14,2024-09-25,Dining,Design water structure movie represent.,279.3
14,2024-10-28,Transport,List generation successful most cultural.,274.77
14,2024-11-07,Entertainment,Consumer dream human attention sell continue green.,63.14
14,2025-08-15,Rent,Hope occur head water behind section.,414.06
14,2025-08-07,Transport,Third determine without black.,126.64
14,2024-10-05,Utilities,Into support return such until store weight live.,479.69
14,2024-10-28,Entertainment,Over professional look meet find commercial the.,340.05
14,2025-04-10,Entertainment,Drive understand seven thought tree.,23.63
14,2025-01-09,Utilities,You source meeting list.,16.02
14,2025-08-16,Groceries,East purpose second.,222.54
14,2025-05-26,Healthcare,Fact analysis member letter else.,111.97
14,2025-09-05,Healthcare,Instead street son world structure whole box.,492.33
14,2025-07-13,Miscellaneous,Record state college away.,458.49
14,2025-07-31,Entertainment,Kitchen theory method least listen per.,287.2
14,2025-09-04,Healthcare,Exactly conference off arrive available.,384.96
14,2025-01-06,Entertainment,Actually hour realize hard society thank.,85.85
15,2025-06-19,Clothing,Animal quickly fast drop city organization choice rise.,389.19
15,2025-06-09,Dining,Guy a type turn also type.,87.37
15,2025-01-31,Utilities,Available find fine begin for yes.,72.19
15,2025-01-29,Utilities,Agreement story shake his human marriage.,134.36
15,2024-12-01,Rent,Way capital technology population find book.,476.93
15,2024-09-14,Clothing,Education although military per explain.,82.14
15,2025-01-15,Miscellaneous,Reach stock environmental opportunity report fine.,442.58
15,2025-02-09,Transport,Nothing tree couple speech live.,242.01
15,2024-11-28,Entertainment,Law professional contain according someone.,70.76
15,2025-03-30,Groceries,Toward point various tell game herself us.,431.82
15,2025-01-13,Transport,Teacher senior form herself condition almost mother.,78.11
15,2024-10-11,Transport,Here thus shake defense fast exactly science.,453.69
15,2025-02-27,Utilities,Office against within spend media sometimes.,48.9
15,2025-03-05,Entertainment,Son off story argue.,278.16
15,2025-07-19,Education,Ago start understand spend peace feel.,217.45
15,2024-09-16,Dining,Opportunity push through yard voice.,324.16
15,2025-07-05,Miscellaneous,In right later pass amount social tax will.,342.29
15,2025-07-06,Education,Color public side quality forget.,425.92
15,2025-05-13,Education,Will project name together environmental place century.,232.71
15,2025-08-13,Education,Design owner trip them.,228.35
16,2025-03-12,Groceries,Smile order expert who real gas raise.,60.09
16,2025-05-11,Groceries,Consider green get green also.,348.4
16,2025-09-10,Dining,Produce lay world beat.,158.67
16,2025-05-30,Clothing,Old show heart teach tax.,185.73
16,2025-08-22,Clothing,Young operation realize factor.,24.85
16,2024-09-27,Groceries,Accept perform look people civil.,367.3
16,2025-07-09,Utilities,Scene wonder organization until put mother.,488.43
16,2025-05-10,Healthcare,Indicate consumer recently more chair prepare.,360.01
16,2025-08-03,Dining,Approach career do campaign first.,396.36
16,2025-03-05,Utilities,Drop travel step.,48.1
16,2025-03-04,Utilities,Change security season but fine evidence matter allow.,384.38
16,2025-08-12,Education,Notice strong tonight outside.,207.01
16,2024-10-08,Transport,Think decide hour national realize kid.,163.39
17,2025-07-31,Clothing,Six program the protect wonder whether.,380.19
17,2024-11-23,Transport,Evening wear right out off.,351.73
17,2024-12-18,Transport,List about writer knowledge weight.,324.07
17,2025-08-24,Miscellaneous,Cover natural company computer seek better national discuss.,382.9
17,2024-11-25,Utilities,Husband single seek medical seek listen onto.,429.96
17,2025-04-16,Healthcare,Sell wide owner tough animal activity.,325.01
17,2025-04-04,Miscellaneous,Court blue by understand prevent turn.,143.71
17,2025-06-15,Rent,Which would nature section agent forward TV.,108.29
17,2024-11-03,Entertainment,Step ok in because become book.,378.82
17,2024-11-22,Entertainment,First that authority just military pressure west.,69.67
17,2024-11-06,Miscellaneous,Lot sit change fact find his state.,313.34
17,2025-02-09,Entertainment,Environmental table with history million east such.,46.93
17,2024-09-12,Entertainment,Consider night wish today which share.,458.83
17,2024-12-05,Rent,Simple rest want game boy anyone.,171.07
18,2025-08-02,Dining,Assume magazine protect security something citizen.,389.06
18,2025-03-24,Dining,Resource stage write turn performance science.,372.39
18,2025-07-30,Groceries,Space cell memory marriage college own over two.,362.13
18,2025-08-05,Education,Society arrive guess family sometimes activity.,125.67
18,2024-12-08,Entertainment,Animal sometimes official board.,473.41
18,2025-07-05,Education,Administration throughout teach upon.,183.04
18,2025-03-13,Transport,Cultural miss must result once realize another.,215.12
18,2024-11-13,Healthcare,Physical across drug receive at this financial.,179.04
18,2025-02-21,Education,Eye laugh certain beautiful bag south foot.,274.02
18,2025-08-30,Dining,Partner issue relate hot themselves finally.,139.76
18,2024-11-29,Dining,Shoulder measure save claim likely suggest then election.,210.95
18,2024-11-12,Dining,Open drug miss something.,274.92
18,2025-04-29,Miscellaneous,Statement continue society house cause today time.,74.26
18,2025-07-29,Education,Say outside even standard make less.,178.07
18,2025-04-06,Entertainment,State relationship hundred section discover task.,68.49
18,2025-06-10,Dining,Region role artist no Democrat why.,376.11
19,2025-01-08,Groceries,Degree cover news can.,181.94
19,2025-03-06,Dining,Pressure film provide get follow and.,34.9
19,2025-01-20,Groceries,Easy music behavior provide.,407.88
19,2025-06-07,Rent,Face lose attack.,454.48
19,2025-08-20,Rent,Power safe population police service fly card number.,118.63
19,2025-08-21,Miscellaneous,Ever TV near public.,198.77
19,2025-05-05,Miscellaneous,Today health security bank drive these it.,499.97
19,2025-01-06,Rent,Law wind beyond thought much.,145.31
19,2024-11-27,Groceries,Everything community member low quite.,481.98
19,2024-10-10,Rent,Hair environment above option deal sign plant all.,422.08
19,2025-08-17,Dining,Their dark significant marriage bed drug.,385.99
19,2024-10-30,Rent,Free perhaps question maybe.,128.34
19,2024-12-12,Healthcare,Reflect hotel traditional.,493.63
19,2024-11-05,Dining,Say trial amount.,494.4
19,2024-10-09,Dining,Top from organization his sense think recent make.,372.96
20,2025-04-04,Entertainment,Free enough start leader realize.,124.96
20,2024-12-11,Rent,Lay part somebody traditional career else.,75.61
20,2025-04-19,Utilities,War ready bit data this health.,491.78
20,2024-09-23,Miscellaneous,Nothing clearly movement operation.,106.28
20,2025-07-21,Miscellaneous,Hour community enough sure administration.,191.67
20,2024-10-23,Healthcare,Hour cup international become light great just step.,255.85
20,2024-09-17,Healthcare,Third reason stock.,403.25
20,2025-03-21,Groceries,Figure let I end.,302.71
20,2025-07-07,Rent,Herself suddenly finally man.,68.34
20,2025-06-08,Entertainment,Use section identify accept position today.,58.99
20,2025-02-18,Utilities,Sure thing huge.,43.11
20,2025-03-25,Groceries,Go test still.,123.75
20,2025-01-15,Utilities,National police team author develop.,467.26
20,2025-09-04,Dining,Company shake pressure.,382.57
20,2025-05-07,Utilities,Person modern care so factor.,462.65
20,2024-10-16,Transport,Measure radio time hold meet trouble.,143.53
20,2025-02-25,Clothing,Institution style decide a.,110.77
20,2025-04-26,Dining,Drive whatever central establish.,153.71
20,2025-04-03,Dining,Community wish huge specific take member major.,287.52
20,2025-08-19,Clothing,Television dinner station shake maintain what real simple.,14.61
20,2025-06-15,Clothing,Economic measure must industry why specific.,392.75
20,2025-04-02,Groceries,Financial soon me class.,92.86
20,2025-08-02,Education,Physical themselves medical floor name small sell.,313.45
20,2025-04-01,Dining,Daughter growth size a discuss city to.,493.92
21,2025-01-25,Rent,For industry detail.,204.04
21,2025-03-19,Education,Here indeed market single hotel three just.,332.94
21,2025-03-10,Healthcare,Section what least five baby appear degree.,274.92
21,2024-12-21,Rent,Upon southern news left behind turn generation fly.,495.34
21,2025-05-21,Transport,Their right finally.,322.27
21,2024-11-17,Clothing,Be central heavy new size.,448.72
21,2025-04-30,Groceries,Answer near hospital.,419.45
21,2024-11-19,Groceries,Success theory certain American.,386.61
21,2024-12-16,Transport,Build easy should woman there water.,101.69
21,2025-07-19,Rent,Network describe stage style former expert.,22.65
21,2025-05-31,Education,Standard father lead in.,205.44
21,2025-05-27,Miscellaneous,Open care late let.,313.33
21,2024-10-15,Utilities,Material others if sister.,201.68
22,2025-05-27,Rent,While goal player structure action into film.,181.31
22,2025-01-10,Clothing,Against prove include middle.,325.45
22,2025-01-15,Clothing,Meeting throughout challenge treat.,391.2
22,2025-01-11,Utilities,Work he position item.,337.43
22,2025-08-09,Dining,Cup throw simply reach.,27.71
22,2024-11-02,Utilities,Politics old unit be whatever.,398.65
22,2025-02-15,Transport,Capital majority enough window job.,484.79
22,2025-02-05,Miscellaneous,Decade because international office pattern.,314.32
22,2025-08-24,Clothing,Owner sell set player effect card.,251.83
22,2024-12-20,Miscellaneous,Political remember science contain but.,131.31
22,2024-11-29,Transport,Development argue test.,127.75
22,2025-02-07,Miscellaneous,Seek third also team where various.,294.5
22,2024-11-03,Transport,Teacher morning seek.,170.4
22,2025-04-29,Healthcare,Political partner unit.,32.65
22,2024-12-19,Clothing,Production central seven play.,496.69
22,2025-07-26,Entertainment,Song skill reflect tough tree.,142.58
22,2025-04-25,Rent,Red of early outside into together difference.,179.71
22,2025-02-11,Rent,News know talk relate run.,364.61
22,2025-03-05,Miscellaneous,Sea bad focus economic machine.,438.43
22,2025-07-22,Dining,Above other drop easy everything.,363.15
22,2025-03-26,Dining,Mother television skill note heavy.,297.03
22,2025-05-01,Utilities,If whom health artist trip system again.,75.71
22,2024-11-03,Clothing,Board nor hand couple.,175.93
22,2025-07-13,Healthcare,Cut market plan make stuff.,282.83
22,2024-12-10,Dining,Start show although herself move suggest involve.,459.99
22,2025-08-07,Clothing,Ability evening national design.,51.1
22,2025-03-24,Clothing,Control conference over because their positive accept seat.,15.15
23,2025-07-28,Rent,Focus decision act.,19.32
23,2025-04-17,Healthcare,Pull find character all president past.,440.54
23,2024-11-08,Clothing,Bed great those form.,171.08
23,2024-12-23,Healthcare,Before later relate red new.,113.77
23,2025-02-04,Groceries,Edge important likely off after.,32.87
23,2024-11-07,Transport,Attention nearly Mr on manager understand.,252.74
23,2025-03-03,Miscellaneous,Professional believe sound think offer.,298.52
23,2024-10-23,Dining,Reach whether themselves decision natural.,319.2
23,2025-03-29,Transport,Concern fire true.,237.68
23,2024-12-16,Transport,Allow sit two why model apply.,107.29
23,2024-12-11,Rent,Network record off range.,464.55
23,2025-03-01,Healthcare,Responsibility sell several culture south study.,225.19
23,2024-09-17,Utilities,Coach participant design.,22.33
23,2025-03-10,Groceries,Technology memory guy popular seem pretty they.,134.29
24,2025-08-19,Transport,Marriage word attack fight add owner price.,418.02
24,2025-08-29,Entertainment,Anyone deal house type low than today.,182.07
24,2024-12-08,Utilities,Here measure role new stand sit go these.,247.52
24,2024-12-17,Groceries,Upon enter sit past to time.,487.26
24,2024-11-13,Dining,Hot suddenly create soldier event leave foot.,118.53
24,2025-01-31,Utilities,Environmental effort reach onto.,121.29
24,2024-12-03,Miscellaneous,Shoulder treat page public.,285.37
24,2025-08-17,Education,While career customer actually fish claim.,420.92
24,2024-11-03,Entertainment,Create even white daughter buy teach according.,349.53
24,2025-01-11,Miscellaneous,Mother respond serious break.,369.92
24,2024-12-05,Clothing,Break particularly media near nature.,254.29
24,2025-05-15,Dining,After professional while way open others girl.,394.62
24,2024-10-17,Dining,Apply machine international dream available same.,489.23
24,2025-07-22,Clothing,Also major stock according career kind.,465.57
24,2025-01-15,Education,Kind clear catch program.,48.55
24,2025-07-24,Dining,Eat real Democrat century forward.,130.37
24,2025-03-30,Healthcare,Team suggest bad you.,54.85
25,2025-08-31,Miscellaneous,Low evening shoulder important compare.,249.11
25,2025-05-04,Clothing,Hospital speech education nor.,281.36
25,2025-05-27,Groceries,How dog year other whatever do.,207.55
25,2024-10-22,Miscellaneous,About material summer industry there.,110.3
25,2025-05-29,Transport,Eye describe military back.,79.55
25,2024-11-30,Dining,Friend thus around while.,294.12
25,2025-07-09,Miscellaneous,Improve law between you.,337.4
25,2025-02-28,Education,Maybe read organization sometimes on building area.,499.65
25,2025-02-13,Dining,Cover worker long consider trouble late.,188.25
25,2024-09-25,Education,Music particular kind project listen candidate.,347.35
25,2025-07-13,Education,Such source easy enough contain.,215.46
25,2024-12-12,Education,During really politics will charge.,67.68
26,2025-01-23,Transport,Such chance safe look something.,319.63
26,2025-04-22,Dining,Never within home very scene point.,250.3
26,2025-05-27,Rent,Student gas bit return figure.,145.45
26,2024-11-29,Healthcare,Customer throughout note name agree rock.,152.02
26,2024-12-31,Groceries,News suffer staff bar whether.,114.74
